file_name,path,spatial_status,spatial_sector_raw,spatial_sector,spatial_overlap_area,spatial_overlap_pct,spatial_overlap_count,spatial_all_matches,spatial_error,raster_sr_name,raster_sr_factory_code,raster_sr_type,target_sr_name,target_sr_factory_code,target_sr_type,raster_xmin,raster_ymin,raster_xmax,raster_ymax,raster_center_x,raster_center_y,target_xmin,target_ymin,target_xmax,target_ymax,target_center_x,target_center_y,projected_to_target,spatial_query_source
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,34483.353545195736,100.00002326931079,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:96.40|EB2_1:70.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.29|MonteAranda-NSTC-Km-84p2-a-82p3:7.21|MonteAranda-NSTC-Km-84p2-a-82p3:6.72|MonteAranda-NSTC-Km-84p2-a-82p3:6.26|MonteAranda-NSTC-Km-84p2-a-82p3:6.23|MonteAranda-NSTC-Km-84p2-a-82p3:6.10|MonteAranda-NSTC-Km-84p2-a-82p3:5.53|MonteAranda-NSTC-Km-84p2-a-82p3:5.48|MonteAranda-NSTC-Km-84p2-a-82p3:5.32|MonteAranda-NSTC-Km-84p2-a-82p3:4.47,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296046.1500759323,6462490.289069189,296179.26539453235,6462676.2683659885,296112.7077352323,6462583.278717589,-7921271.059581905,-3757442.0202145344,-7921110.002291838,-3757218.89890579,-7921190.530936871,-3757330.4595601624,True,query_principal
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,53874.60643768231,99.99995726658567,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:99.99|EB2:76.25|EB2_1:49.84|MonteAranda-NSTC-Km-84p2-a-82p3:6.82|MonteAranda-NSTC-Km-84p2-a-82p3:6.76|MonteAranda-NSTC-Km-84p2-a-82p3:6.37|MonteAranda-NSTC-Km-84p2-a-82p3:6.01|MonteAranda-NSTC-Km-84p2-a-82p3:5.96|MonteAranda-NSTC-Km-84p2-a-82p3:5.87|MonteAranda-NSTC-Km-84p2-a-82p3:5.18|MonteAranda-NSTC-Km-84p2-a-82p3:5.13|MonteAranda-NSTC-Km-84p2-a-82p3:4.99|MonteAranda-NSTC-Km-84p2-a-82p3:4.46,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296016.9015880139,6462474.217945012,296202.66382831393,6462682.431835513,296109.78270816396,6462578.324890262,-7921305.866219247,-3757461.5814335607,-7921082.315164783,-3757210.918667392,-7921194.090692015,-3757336.2500504763,True,query_principal
GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,46804.070885739144,100.0000097942937,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:86.17|EB2_1:56.20|MonteAranda-NSTC-Km-84p2-a-82p3:7.29|MonteAranda-NSTC-Km-84p2-a-82p3:7.22|MonteAranda-NSTC-Km-84p2-a-82p3:6.79|MonteAranda-NSTC-Km-84p2-a-82p3:6.39|MonteAranda-NSTC-Km-84p2-a-82p3:6.34|MonteAranda-NSTC-Km-84p2-a-82p3:6.24|MonteAranda-NSTC-Km-84p2-a-82p3:5.54|MonteAranda-NSTC-Km-84p2-a-82p3:5.49|MonteAranda-NSTC-Km-84p2-a-82p3:5.33|MonteAranda-NSTC-Km-84p2-a-82p3:4.72,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296025.64668413316,6462477.778937512,296186.57567403314,6462686.579897512,296106.1111790831,6462582.179417511,-7921295.4884752715,-3757456.990084876,-7921101.155394076,-3757206.2185623557,-7921198.321934674,-3757331.604323616,True,query_principal
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,55149.89164274088,99.99997036180852,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:99.13|EB2_1:61.80|MonteAranda-NSTC-Km-84p2-a-82p3:19.69|MonteAranda-NSTC-Km-84p2-a-82p3:19.67|MonteAranda-NSTC-Km-84p2-a-82p3:19.26|MonteAranda-NSTC-Km-84p2-a-82p3:18.25|MonteAranda-NSTC-Km-84p2-a-82p3:18.14|MonteAranda-NSTC-Km-84p2-a-82p3:18.07|MonteAranda-NSTC-Km-84p2-a-82p3:15.01|MonteAranda-NSTC-Km-84p2-a-82p3:14.97|MonteAranda-NSTC-Km-84p2-a-82p3:14.79|MonteAranda-NSTC-Km-84p2-a-82p3:14.69,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296033.0340229454,6462407.417730462,296184.0635367454,6462669.575332262,296108.54877984535,6462538.496531362,-7921288.444546725,-3757540.157539159,-7921104.511353168,-3757226.506175042,-7921196.477949946,-3757383.3318571006,True,query_principal
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,65303.476768428685,100.00002293849175,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:83.72|EB2_1:52.19|MonteAranda-NSTC-Km-84p2-a-82p3:16.63|MonteAranda-NSTC-Km-84p2-a-82p3:16.62|MonteAranda-NSTC-Km-84p2-a-82p3:16.27|MonteAranda-NSTC-Km-84p2-a-82p3:15.41|MonteAranda-NSTC-Km-84p2-a-82p3:15.32|MonteAranda-NSTC-Km-84p2-a-82p3:15.26|MonteAranda-NSTC-Km-84p2-a-82p3:12.68|MonteAranda-NSTC-Km-84p2-a-82p3:12.64|MonteAranda-NSTC-Km-84p2-a-82p3:12.49|MonteAranda-NSTC-Km-84p2-a-82p3:12.41,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296033.0340231936,6462407.41614863,296196.5838711935,6462694.07578343,296114.80894719355,6462550.74596603,-7921288.444583571,-3757540.454567171,-7921089.198817224,-3757197.526552244,-7921188.821700398,-3757368.9905597074,True,query_principal
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,31157.060235651115,100.0000013784063,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2_1:78.80|MonteAranda-NSTC-Km-84p2-a-82p3:9.20|MonteAranda-NSTC-Km-84p2-a-82p3:9.10|MonteAranda-NSTC-Km-84p2-a-82p3:8.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.97|MonteAranda-NSTC-Km-84p2-a-82p3:7.92|MonteAranda-NSTC-Km-84p2-a-82p3:7.77|MonteAranda-NSTC-Km-84p2-a-82p3:6.98|MonteAranda-NSTC-Km-84p2-a-82p3:6.92|MonteAranda-NSTC-Km-84p2-a-82p3:6.72|MonteAranda-NSTC-Km-84p2-a-82p3:5.79,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296045.88210726174,6462485.34313488,296172.8002629248,6462661.587463534,296109.3411850933,6462573.465299208,-7921271.491127488,-3757447.718065934,-7921117.956877819,-3757236.257473091,-7921194.724002654,-3757341.9877695125,True,query_principal
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,44780.83907161493,99.99994609327061,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:85.82|EB2_1:57.08|MonteAranda-NSTC-Km-84p2-a-82p3:6.84|MonteAranda-NSTC-Km-84p2-a-82p3:6.77|MonteAranda-NSTC-Km-84p2-a-82p3:6.34|MonteAranda-NSTC-Km-84p2-a-82p3:5.95|MonteAranda-NSTC-Km-84p2-a-82p3:5.91|MonteAranda-NSTC-Km-84p2-a-82p3:5.80|MonteAranda-NSTC-Km-84p2-a-82p3:5.19|MonteAranda-NSTC-Km-84p2-a-82p3:5.14|MonteAranda-NSTC-Km-84p2-a-82p3:5.00|MonteAranda-NSTC-Km-84p2-a-82p3:4.35,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296036.4133265855,6462482.6206599325,296195.5027073855,6462684.705867932,296115.9580169855,6462583.663263932,-7921282.701043174,-3757451.473519482,-7921090.691253499,-3757208.68918246,-7921186.696148336,-3757330.081350971,True,query_principal
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,41967.0337459557,99.99998805024367,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:88.91|EB2_1:61.36|MonteAranda-NSTC-Km-84p2-a-82p3:7.51|MonteAranda-NSTC-Km-84p2-a-82p3:7.43|MonteAranda-NSTC-Km-84p2-a-82p3:6.97|MonteAranda-NSTC-Km-84p2-a-82p3:6.55|MonteAranda-NSTC-Km-84p2-a-82p3:6.50|MonteAranda-NSTC-Km-84p2-a-82p3:6.39|MonteAranda-NSTC-Km-84p2-a-82p3:5.70|MonteAranda-NSTC-Km-84p2-a-82p3:5.65|MonteAranda-NSTC-Km-84p2-a-82p3:5.49|MonteAranda-NSTC-Km-84p2-a-82p3:4.80,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296041.6626343641,6462481.375893744,296190.5359589641,6462683.759160544,296116.0992966641,6462582.567527143,-7921276.551139377,-3757452.8288025935,-7921096.559870811,-3757209.932791235,-7921186.555505094,-3757331.380796914,True,query_principal
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,55158.03337530859,100.00001511797223,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:99.12|EB2_1:61.79|MonteAranda-NSTC-Km-84p2-a-82p3:19.69|MonteAranda-NSTC-Km-84p2-a-82p3:19.67|MonteAranda-NSTC-Km-84p2-a-82p3:19.26|MonteAranda-NSTC-Km-84p2-a-82p3:18.24|MonteAranda-NSTC-Km-84p2-a-82p3:18.14|MonteAranda-NSTC-Km-84p2-a-82p3:18.06|MonteAranda-NSTC-Km-84p2-a-82p3:15.01|MonteAranda-NSTC-Km-84p2-a-82p3:14.97|MonteAranda-NSTC-Km-84p2-a-82p3:14.79|MonteAranda-NSTC-Km-84p2-a-82p3:14.69,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296033.0340229454,6462407.410303259,296184.08148603846,6462669.575332262,296108.5577544919,6462538.49281776,-7921288.444721104,-3757540.166747603,-7921104.490224845,-3757226.506175042,-7921196.467472974,-3757383.3364613224,True,query_principal
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,47701.21206735127,99.99998430005427,18,MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|MonteAranda-NSTC-Km-84p2-a-82p3:100.00|EB2:85.80|EB2_1:56.06|MonteAranda-NSTC-Km-84p2-a-82p3:7.59|MonteAranda-NSTC-Km-84p2-a-82p3:7.52|MonteAranda-NSTC-Km-84p2-a-82p3:7.08|MonteAranda-NSTC-Km-84p2-a-82p3:6.69|MonteAranda-NSTC-Km-84p2-a-82p3:6.63|MonteAranda-NSTC-Km-84p2-a-82p3:6.53|MonteAranda-NSTC-Km-84p2-a-82p3:5.77|MonteAranda-NSTC-Km-84p2-a-82p3:5.71|MonteAranda-NSTC-Km-84p2-a-82p3:5.55|MonteAranda-NSTC-Km-84p2-a-82p3:4.96,,WGS_1984_UTM_Zone_19S,32719,Projected,WGS_1984_Web_Mercator_Auxiliary_Sphere,3857,Projected,296024.7575744675,6462474.921717147,296187.2865766675,6462685.630017447,296106.0220755675,6462580.275867297,-7921296.602158575,-3757460.386492603,-7921100.340865672,-3757207.3211245355,-7921198.471512124,-3757333.8538085693,True,query_principal
