name,fecha,date_token,status
GEOSP-TRN-001492_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N2,2025-12-10,25_12_10,ok
GEOSP-TRN-001784_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N2,2026-01-23,26_01_23,ok
GEOSP-TRN-001975_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N2,2026-02-20,26_02_20,ok
GEOSP-TRN-002200_ORTOFOTO_COMPLETA,2026-03-22,26_03_22,ok
GEOSP-TRN-002300_ORTOFOTO_COMPLETA,2026-04-04,26_04_04,ok
GEOSP-TRN-002580_GS_ORTOFOTO_DEPOSITO_PATIO_PULMON,2026-05-08,26_05_08,ok
GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478,2026-04-30,26_04_30,ok
GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486,2026-05-01,26_05_01,ok
GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490,2026-05-06,26_05_06,ok
GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492,2026-05-08,26_05_08,ok
GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494,2026-05-07,26_05_07,ok
GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500,2026-05-08,26_05_08,ok
GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504,2026-05-07,26_05_07,ok
GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502,2026-05-08,26_05_08,ok
GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506,2026-05-10,26_05_10,ok
GEOSP-TRN-002573_GS_ORTOFOTO_DEP13_PV5,2026-05-08,26_05_08,ok
GEOSP-TRN-002576_GS_ORTOFOTO_PATIO_SDRNP,2026-05-08,26_05_08,ok
