order,map_name,depth,group_path,layer_path,layer_name,long_name,is_group_layer,is_broken,visible,data_source,connection_info
1,MLP SIG PAO LAYOUT OFFLINE v4,0,,SIAS - PAO,SIAS - PAO,SIAS - PAO,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_17_SIAS\CL_MLP_PAO_SIAS_PO,"{'dataset': 'CL_MLP_PAO_SIAS_PO', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
3,MLP SIG PAO LAYOUT OFFLINE v4,1,Cruces,Cruces\Atraviesos Viales FLUOR,Atraviesos Viales FLUOR,Cruces\Atraviesos Viales FLUOR,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_Atraviesos_FLUOR_PU,"{'dataset': 'CL_MLP_PAO_Atraviesos_FLUOR_PU', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
4,MLP SIG PAO LAYOUT OFFLINE v4,1,Cruces,Cruces\Atraviesos Viales Paralelismos,Atraviesos Viales Paralelismos,Cruces\Atraviesos Viales Paralelismos,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_Atraviesos_FLUOR_PO,"{'dataset': 'CL_MLP_PAO_Atraviesos_FLUOR_PO', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
5,MLP SIG PAO LAYOUT OFFLINE v4,1,Cruces,Cruces\Cruces Ferronor,Cruces Ferronor,Cruces\Cruces Ferronor,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_01_EIA\CL_MLP_PAO_OBRAS_PUNTUALES_EIA_PU,"{'dataset': 'CL_MLP_PAO_OBRAS_PUNTUALES_EIA_PU', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
7,MLP SIG PAO LAYOUT OFFLINE v4,1,Permisos,Permisos\PS 51 Permisos Vialidad,PS 51 Permisos Vialidad,Permisos\PS 51 Permisos Vialidad,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PS_51_Permisos_Vialidad_PU,"{'dataset': 'CL_MLP_PAO_PS_51_Permisos_Vialidad_PU', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
9,MLP SIG PAO LAYOUT OFFLINE v4,2,Permisos\PAS 156 MODIFICACION DE CAUCES,Permisos\PAS 156 MODIFICACION DE CAUCES\Permiso Sectorial Modificación de Cauce - Materialidad,Permiso Sectorial Modificación de Cauce - Materialidad,Permisos\PAS 156 MODIFICACION DE CAUCES\Permiso Sectorial Modificación de Cauce - Materialidad,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_156_PU_Modificacion_Cauces_Solicitado,"{'dataset': 'CL_MLP_PAO_PASM_156_PU_Modificacion_Cauces_Solicitado', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
10,MLP SIG PAO LAYOUT OFFLINE v4,2,Permisos\PAS 156 MODIFICACION DE CAUCES,Permisos\PAS 156 MODIFICACION DE CAUCES\Permiso Sectorial Modificación de Cauce - Solicitado,Permiso Sectorial Modificación de Cauce - Solicitado,Permisos\PAS 156 MODIFICACION DE CAUCES\Permiso Sectorial Modificación de Cauce - Solicitado,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_156_PU_Modificacion_Cauces_Solicitado,"{'dataset': 'CL_MLP_PAO_PASM_156_PU_Modificacion_Cauces_Solicitado', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
11,MLP SIG PAO LAYOUT OFFLINE v4,2,Permisos\PAS 156 MODIFICACION DE CAUCES,Permisos\PAS 156 MODIFICACION DE CAUCES\PAS 156: Modificación de Cauces (RCA),PAS 156: Modificación de Cauces (RCA),Permisos\PAS 156 MODIFICACION DE CAUCES\PAS 156: Modificación de Cauces (RCA),False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_11_PERMISOS_AMBIENTALES\CL_MLP_PAO_PASM_156_PU_Modificacion_Cauces_RCA,"{'dataset': 'CL_MLP_PAO_PASM_156_PU_Modificacion_Cauces_RCA', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
14,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\Cartografía Base,Permisos\PERMISOS FFAP\Cartografía Base\Obras de Arte,Obras de Arte,Permisos\PERMISOS FFAP\Cartografía Base\Obras de Arte,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_PASM_CARTO_PU_Obras_Arte,"{'dataset': 'CL_MLP_PAO_PASM_CARTO_PU_Obras_Arte', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
15,MLP SIG PAO LAYOUT OFFLINE v4,3,Permisos\PERMISOS FFAP\Cartografía Base,Permisos\PERMISOS FFAP\Cartografía Base\Señaletica Incendios,Señaletica Incendios,Permisos\PERMISOS FFAP\Cartografía Base\Señaletica Incendios,False,False,True,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_PASM_CARTO_PU_Señaletica_Incendios,"{'dataset': 'CL_MLP_PAO_PASM_CARTO_PU_Señaletica_Incendios', 'workspace_factory': 'File Geodatabase', 'connection_info': {'database': '\\\\amssclgis08.ams.gmams.cl\\CL_MLP_PAO\\02_FGDB\\CL_MLP_PAO_v1.gdb'}}"
