file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder,expected_name,expected_file_name,expected_stem,expected_date_token,expected_sector,expected_sector_candidates,expected_stem_candidates,date_warning,rename_status,expected_name_exists_in_mosaic,matched_mosaic_source_field,matched_mosaic_path,matched_mosaic_file_name,matched_mosaic_stem,load_status,date_exists_in_mosaic,same_date_mosaic_examples,triage_status
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,110.944,2026-06-11 10:37:57,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_25_12_28_gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_25_12_28_gs_ortofoto_eb2.tif,CL_MLP_PAO_IF_Ortho_25_12_28_gs_ortofoto_eb2,25_12_28,gs_ortofoto_eb2,gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_25_12_28_gs_ortofoto_eb2,,ok,False,,,,,nueva_candidata,False,,nueva_alta_confianza
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,180.745,2026-06-11 10:38:07,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_01_03_02_ortofoto_eb_2026,CL_MLP_PAO_IF_Ortho_01_03_02_ortofoto_eb_2026.tif,CL_MLP_PAO_IF_Ortho_01_03_02_ortofoto_eb_2026,01_03_02,ortofoto_eb_2026,ortofoto_eb_2026,CL_MLP_PAO_IF_Ortho_01_03_02_ortofoto_eb_2026,,ok,False,,,,,nueva_candidata,False,,nueva_alta_confianza
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,128.088,2026-06-11 10:38:15,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_02_04_gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_26_02_04_gs_ortofoto_eb2.tif,CL_MLP_PAO_IF_Ortho_26_02_04_gs_ortofoto_eb2,26_02_04,gs_ortofoto_eb2,gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_26_02_04_gs_ortofoto_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_iiff9-pa13.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_linea-33-kv-norteelmauro-area3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_ed1-iiff7-dme8.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_dme9_pa12_iiff8.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,225.507,2026-06-11 10:38:24,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_03_07_02_gs_ortofoto_eb_2026,CL_MLP_PAO_IF_Ortho_03_07_02_gs_ortofoto_eb_2026.tif,CL_MLP_PAO_IF_Ortho_03_07_02_gs_ortofoto_eb_2026,03_07_02,gs_ortofoto_eb_2026,gs_ortofoto_eb_2026,CL_MLP_PAO_IF_Ortho_03_07_02_gs_ortofoto_eb_2026,,ok,False,,,,,nueva_candidata,False,,nueva_alta_confianza
GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif,45.081,2026-06-11 10:38:44,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_04_12_02_gs_ortofoto_eb_26,CL_MLP_PAO_IF_Ortho_04_12_02_gs_ortofoto_eb_26.tif,CL_MLP_PAO_IF_Ortho_04_12_02_gs_ortofoto_eb_26,04_12_02,gs_ortofoto_eb_26,gs_ortofoto_eb_26,CL_MLP_PAO_IF_Ortho_04_12_02_gs_ortofoto_eb_26,,ok,False,,,,,nueva_candidata,False,,nueva_alta_confianza
GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif,42.079,2026-06-11 10:38:47,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_04_19_gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_26_04_19_gs_ortofoto_eb2.tif,CL_MLP_PAO_IF_Ortho_26_04_19_gs_ortofoto_eb2,26_04_19,gs_ortofoto_eb2,gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_26_04_19_gs_ortofoto_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_04/cl_mlp_pao_if_ortho_26_04_19_ev2.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif,38.723,2026-06-11 10:38:49,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_04_26_ortofoto_cortada_eb2,CL_MLP_PAO_IF_Ortho_26_04_26_ortofoto_cortada_eb2.tif,CL_MLP_PAO_IF_Ortho_26_04_26_ortofoto_cortada_eb2,26_04_26,ortofoto_cortada_eb2,ortofoto_cortada_eb2,CL_MLP_PAO_IF_Ortho_26_04_26_ortofoto_cortada_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/puerto_punta_chungo_drone/26_04/cl_mlp_pao_if_ortho_26_04_26_edt.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif,852.631,2026-06-11 10:39:01,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_04_30_gs_ortofoto_plataforma,CL_MLP_PAO_IF_Ortho_26_04_30_gs_ortofoto_plataforma.tif,CL_MLP_PAO_IF_Ortho_26_04_30_gs_ortofoto_plataforma,26_04_30,gs_ortofoto_plataforma,gs_ortofoto_plataforma,CL_MLP_PAO_IF_Ortho_26_04_30_gs_ortofoto_plataforma,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_04/cl_mlp_pao_if_ortho_26_04_30_torres_e35_a_e48.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_04/cl_mlp_pao_if_ortho_26_04_30_em4.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif,47.776,2026-06-11 10:39:05,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_05_02_gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_26_05_02_gs_ortofoto_eb2.tif,CL_MLP_PAO_IF_Ortho_26_05_02_gs_ortofoto_eb2,26_05_02,gs_ortofoto_eb2,gs_ortofoto_eb2,CL_MLP_PAO_IF_Ortho_26_05_02_gs_ortofoto_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_05/cl_mlp_pao_if_ortho_26_05_02_em2_s2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_05/cl_mlp_pao_if_ortho_26_05_02_ev2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_05/cl_mlp_pao_if_ortho_26_05_02_ed1.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_05/cl_mlp_pao_if_ortho_26_05_02_em2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_05/cl_mlp_pao_if_ortho_26_05_02_subestacion-el-mauro_a_e35.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_05/cl_mlp_pao_if_ortho_26_05_02_torres_e48_a_e84_pv4.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif,32.658,2026-06-11 10:39:11,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_05_09_gs_ortofoto_edt,CL_MLP_PAO_IF_Ortho_26_05_09_gs_ortofoto_edt.tif,CL_MLP_PAO_IF_Ortho_26_05_09_gs_ortofoto_edt,26_05_09,gs_ortofoto_edt,gs_ortofoto_edt,CL_MLP_PAO_IF_Ortho_26_05_09_gs_ortofoto_edt,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/puerto_punta_chungo_drone/26_05/cl_mlp_pao_if_ortho_26_05_09_edt.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_drone/26_05/cl_mlp_pao_if_ortho_26_05_09_estacion_cabecera.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_05/cl_mlp_pao_if_ortho_26_05_09_ev2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_drone/26_05/cl_mlp_pao_if_ortho_26_05_09_em1.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_05/cl_mlp_pao_if_ortho_26_05_09_ev1.tif,revisar_fecha_existente_en_mosaico
