metric,value
root_ortho_tif_count,66
control_ortho_tif_count,33
script_new_count_all_root,49
script_new_count_inside_control,17
high_confidence_new_inside_control,3
same_date_review_inside_control,14
already_loaded_inside_control,1
review_or_discard_inside_control,15
load_status_nueva_candidata,49
load_status_descartar_posible_plano,9
load_status_sin_fecha,7
load_status_ya_cargada,1
control_triage_revisar_fecha_existente_en_mosaico,14
control_triage_descartar_posible_plano,9
control_triage_revisar_fecha_o_nombre,6
control_triage_nueva_alta_confianza,3
control_triage_ya_cargada,1
