file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,110.944,2026-06-11 10:37:57,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,155.039,2026-06-11 10:38:02,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,147.589,2026-06-11 10:38:05,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,180.745,2026-06-11 10:38:07,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,164.324,2026-06-11 10:38:09,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,96.611,2026-06-11 10:38:11,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,128.088,2026-06-11 10:38:15,20260206_Geosupport_primera entrega,True
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,147.604,2026-06-11 10:38:18,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,39.182,2026-06-11 10:38:21,20260206_Geosupport_primera entrega,True
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,225.507,2026-06-11 10:38:24,20260206_Geosupport_primera entrega,True
