file_name,stem,extension,path,relative_path,size_mb,modified_at,top_folder,is_in_control_folder,expected_name,expected_file_name,expected_stem,expected_date_token,expected_sector,expected_sector_candidates,expected_stem_candidates,date_warning,rename_status,expected_name_exists_in_mosaic,matched_mosaic_source_field,matched_mosaic_path,matched_mosaic_file_name,matched_mosaic_stem,load_status,date_exists_in_mosaic,same_date_mosaic_examples,triage_status
GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif,110.944,2026-06-11 10:37:57,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_25_12_28_eb2,CL_MLP_PAO_IF_Ortho_25_12_28_eb2.tif,CL_MLP_PAO_IF_Ortho_25_12_28_eb2,25_12_28,eb2,eb2,CL_MLP_PAO_IF_Ortho_25_12_28_eb2,,ok,False,,,,,nueva_candidata,False,,nueva_alta_confianza
GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif,155.039,2026-06-11 10:38:02,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif,147.589,2026-06-11 10:38:05,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_25_12_20_eb2,CL_MLP_PAO_IF_Ortho_25_12_20_eb2.tif,CL_MLP_PAO_IF_Ortho_25_12_20_eb2,25_12_20,eb2,eb2,CL_MLP_PAO_IF_Ortho_25_12_20_eb2,,ok,False,,,,,nueva_candidata,False,,nueva_alta_confianza
GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif,180.745,2026-06-11 10:38:07,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_01_03_eb2,CL_MLP_PAO_IF_Ortho_26_01_03_eb2.tif,CL_MLP_PAO_IF_Ortho_26_01_03_eb2,26_01_03,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_01_03_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_01_03/cl_mlp_pao_if_ortho_26_01_03_dme5a-dme17-a-nstc-78p9.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif,164.324,2026-06-11 10:38:09,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_01_17_eb2,CL_MLP_PAO_IF_Ortho_26_01_17_eb2.tif,CL_MLP_PAO_IF_Ortho_26_01_17_eb2,26_01_17,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_01_17_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_01_17/cl_mlp_pao_if_ortho_26_01_17_montearanda-nstc-km-84p2-a-82p3.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif,96.611,2026-06-11 10:38:11,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif,128.088,2026-06-11 10:38:15,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_02_04_eb2,CL_MLP_PAO_IF_Ortho_26_02_04_eb2.tif,CL_MLP_PAO_IF_Ortho_26_02_04_eb2,26_02_04,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_02_04_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_iiff9-pa13.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_linea-33-kv-norteelmauro-area3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_ed1-iiff7-dme8.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_04/cl_mlp_pao_if_ortho_26_02_04_dme9_pa12_iiff8.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif,147.604,2026-06-11 10:38:18,20260206_Geosupport_primera entrega,True,,,,,,,,,sin_fecha,False,,,,,sin_fecha,False,,revisar_fecha_o_nombre
GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif,39.182,2026-06-11 10:38:21,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_02_26_eb2,CL_MLP_PAO_IF_Ortho_26_02_26_eb2.tif,CL_MLP_PAO_IF_Ortho_26_02_26_eb2,26_02_26,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_02_26_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_eb3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_torre_e85_a_e_125.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_ev1.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_subestacion-el-mauro.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_drone/26_02_26/cl_mlp_pao_if_ortho_26_02_26_em2.tif,revisar_fecha_existente_en_mosaico
GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif,225.507,2026-06-11 10:38:24,20260206_Geosupport_primera entrega,True,CL_MLP_PAO_IF_Ortho_26_03_07_eb2,CL_MLP_PAO_IF_Ortho_26_03_07_eb2.tif,CL_MLP_PAO_IF_Ortho_26_03_07_eb2,26_03_07,eb2,eb2,CL_MLP_PAO_IF_Ortho_26_03_07_eb2,,ok,False,,,,,nueva_candidata,True,//amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_eb3.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_puerto_punta_chungo_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_ev2.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/chacay_el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_ed1-iiff7-dme8.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_patio-19b-y-armado.tif | //amssclgis10.ams.gmams.cl/cl_mlp_pao/el_mauro_drone/26_03_07/cl_mlp_pao_if_ortho_26_03_07_subestacion-el-mauro.tif,revisar_fecha_existente_en_mosaico
