"file_name","date_token","sector_candidates","relative_path"
"GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","25_12_28","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif"
"GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","25_12_20","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif"
"GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","26_01_03","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif"
"GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","26_01_17","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif"
"GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","26_02_04","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif"
"GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","26_02_26","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif"
"GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","26_03_07","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif"
"GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","26_03_13","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif"
"GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","26_03_27","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif"
"GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","26_04_12","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif"
"GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","26_04_19","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif"
"GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","26_04_26","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif"
"GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","26_04_30","plataforma","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif"
"GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","26_05_02","eb2","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif"
"GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","26_05_08","dep13_pv5","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif"
"GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","26_05_08","patio_sdrnp","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif"
"SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif","26_05_29","sin_id_estacion_de_valvulas_n_1","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif"
"GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif","26_05_01","estacion_cabeceras_ec|estacion_cabecera","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif"
"GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","26_05_06","eb3","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif"
"GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","26_05_06","ssee|subestacion-el-mauro_a_e35","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif"
"GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif","26_05_06","tramo_2_linea_33_kv_e_085_e_125","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif"
"GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif","26_05_10","ed1","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif"
"GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif","26_05_10","helipuerto_mauro_mlp|helipuerto_mauro","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif"
"GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif","26_05_10","patio_19b","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif"
"GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif","26_05_10","em2","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif"
"GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif","26_05_07","tramo_2_linea_33_kv_e_048_e_084","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif"
"GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif","26_05_10","tramo_1_linea_33_kv_e_125_ml_eb2|eb2","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif"
"GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif","26_05_13","estacion_de_monitoreo_n_2|em2","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif"
"GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif","26_05_13","acceso_pozos_prp|pozos_prp|acceso_a_pozos","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif"
"GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","26_05_13","subestacion_el_mauro","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif"
