"file_name","expected_file_name","expected_date_token","expected_sector"
"GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","CL_MLP_PAO_IF_Ortho_25_12_28_GS_ORTOFOTO_EB2.tif","25_12_28","GS_ORTOFOTO_EB2"
"GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","CL_MLP_PAO_IF_Ortho_92_14_00_GEOSP_TRN_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N_2.tif","92_14_00","GEOSP_TRN_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N_2"
"GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","CL_MLP_PAO_IF_Ortho_25_12_20_GS_ORTOFOTO_EB2.tif","25_12_20","GS_ORTOFOTO_EB2"
"GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","CL_MLP_PAO_IF_Ortho_26_01_03_ORTOFOTO_EB2.tif","26_01_03","ORTOFOTO_EB2"
"GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","CL_MLP_PAO_IF_Ortho_26_01_17_GS_ORTOFOTO_EB2.tif","26_01_17","GS_ORTOFOTO_EB2"
"GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","CL_MLP_PAO_IF_Ortho_84_17_00_GEOSP_TRN_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N_2.tif","84_17_00","GEOSP_TRN_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N_2"
"GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","CL_MLP_PAO_IF_Ortho_26_02_04_GS_ORTOFOTO_EB2.tif","26_02_04","GS_ORTOFOTO_EB2"
"GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","CL_MLP_PAO_IF_Ortho_75_19_00_GEOSP_TRN_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N_2.tif","75_19_00","GEOSP_TRN_GS_ORTOFOTO_ESTACION_DE_BOMBEO_N_2"
"GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","CL_MLP_PAO_IF_Ortho_26_02_26_GS_ORTOFOTO_EB2.tif","26_02_26","GS_ORTOFOTO_EB2"
"GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","CL_MLP_PAO_IF_Ortho_26_03_07_GS_ORTOFOTO_EB2.tif","26_03_07","GS_ORTOFOTO_EB2"
"GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","CL_MLP_PAO_IF_Ortho_26_03_13_GS_ORTOFOTO_EB2.tif","26_03_13","GS_ORTOFOTO_EB2"
