"file_name","relative_path","size_mb","date_token","sector_candidates","possible_mosaic_stems","matched_mosaic_stems","analysis_status"
"GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","110.944","25_12_28","gs_ortofoto_eb2|eb2","cl_mlp_pao_if_ortho_25_12_28_gs_ortofoto_eb2|cl_mlp_pao_if_ortho_25_12_28_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","155.039",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","147.589","25_12_20","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_25_12_20_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","180.745","26_01_03","ortofoto_eb2","cl_mlp_pao_if_ortho_26_01_03_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","164.324","26_01_17","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_01_17_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","96.611",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","128.088","26_02_04","gs_ortofoto_eb2|eb2","cl_mlp_pao_if_ortho_26_02_04_gs_ortofoto_eb2|cl_mlp_pao_if_ortho_26_02_04_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","147.604",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","39.182","26_02_26","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_02_26_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","225.507","26_03_07","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_03_07_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","32.226","26_03_13","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_03_13_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","29.916",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","29.406","26_03_27","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_03_27_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002300_ortofoto completa.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif","50.335",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","45.081","26_04_12","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_04_12_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","42.079","26_04_19","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_04_19_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","38.723","26_04_26","ortofoto_cortada_eb2","cl_mlp_pao_if_ortho_26_04_26_ortofoto_cortada_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","41.831",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","852.631","26_04_30","gs_ortofoto_plataforma","cl_mlp_pao_if_ortho_26_04_30_gs_ortofoto_plataforma","","candidata_revisar_insertar"
"GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","128.886",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","47.776","26_05_02","gs_ortofoto_eb2","cl_mlp_pao_if_ortho_26_05_02_gs_ortofoto_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","37.785",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","47.647",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","62.129",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","32.658","26_05_09","gs_ortofoto_edt","cl_mlp_pao_if_ortho_26_05_09_gs_ortofoto_edt","","candidata_revisar_insertar"
"GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","32.534","26_05_08","gs_ortofoto_dep13_pv5","cl_mlp_pao_if_ortho_26_05_08_gs_ortofoto_dep13_pv5","","candidata_revisar_insertar"
"GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","348.052","26_05_08","gs_ortofoto_patio_sdrnp|patio_sdrnp","cl_mlp_pao_if_ortho_26_05_08_gs_ortofoto_patio_sdrnp|cl_mlp_pao_if_ortho_26_05_08_patio_sdrnp","","candidata_revisar_insertar"
"GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","2.235",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","36.005",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","11.14",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif","5.468",,"","","","sin_fecha_en_nombre"
"GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif","3.543",,"","","","sin_fecha_en_nombre"
"SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif","717.701","26_05_29","sin_id_gs_ortofoto_estacion_de_valvulas_n_1","cl_mlp_pao_if_ortho_26_05_29_sin_id_gs_ortofoto_estacion_de_valvulas_n_1","","candidata_revisar_insertar"
"GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif","79.159","26_05_01","gs_ortofoto_estacion_cabeceras|estacion_cabecera","cl_mlp_pao_if_ortho_26_05_01_gs_ortofoto_estacion_cabeceras|cl_mlp_pao_if_ortho_26_05_01_estacion_cabecera","","candidata_revisar_insertar"
"GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","11.012","26_05_06","gs_ortofoto_eb3","cl_mlp_pao_if_ortho_26_05_06_gs_ortofoto_eb3","","candidata_revisar_insertar"
"GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","762.001","26_05_06","gs_ortofoto_ssee","cl_mlp_pao_if_ortho_26_05_06_gs_ortofoto_ssee","","candidata_revisar_insertar"
"GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif","640.965","05_06_25","gs_ortofoto_tramo_2_linea_33_kv_e_085_e_1_26","cl_mlp_pao_if_ortho_05_06_25_gs_ortofoto_tramo_2_linea_33_kv_e_085_e_1_26","","candidata_revisar_insertar"
