"file_name","relative_path","size_mb","date_token","sector_candidates","possible_mosaic_stems","matched_mosaic_stems","analysis_status"
"GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","110.944","25_12_28","eb2","cl_mlp_pao_if_ortho_25_12_28_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","155.039",,"","","","revisar_sin_fecha"
"GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","147.589","25_12_20","eb2","cl_mlp_pao_if_ortho_25_12_20_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","180.745","26_01_03","eb2","cl_mlp_pao_if_ortho_26_01_03_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","164.324","26_01_17","eb2","cl_mlp_pao_if_ortho_26_01_17_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","96.611",,"","","","revisar_sin_fecha"
"GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","128.088","26_02_04","eb2","cl_mlp_pao_if_ortho_26_02_04_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","147.604",,"","","","revisar_sin_fecha"
"GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","39.182","26_02_26","eb2","cl_mlp_pao_if_ortho_26_02_26_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","225.507","26_03_07","eb2","cl_mlp_pao_if_ortho_26_03_07_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","32.226","26_03_13","eb2","cl_mlp_pao_if_ortho_26_03_13_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","29.916",,"","","","revisar_sin_fecha"
"GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","29.406","26_03_27","eb2","cl_mlp_pao_if_ortho_26_03_27_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002300_ortofoto completa.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif","50.335",,"","","","revisar_sin_fecha"
"GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","45.081","26_04_12","eb2","cl_mlp_pao_if_ortho_26_04_12_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","42.079","26_04_19","eb2","cl_mlp_pao_if_ortho_26_04_19_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","38.723","26_04_26","eb2","cl_mlp_pao_if_ortho_26_04_26_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","41.831",,"","","","descartar_posible_plano"
"GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","852.631","26_04_30","plataforma","cl_mlp_pao_if_ortho_26_04_30_plataforma","","candidata_revisar_insertar"
"GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","128.886",,"","","","descartar_posible_plano"
"GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","47.776","26_05_02","eb2","cl_mlp_pao_if_ortho_26_05_02_eb2","","candidata_revisar_insertar"
"GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","37.785",,"","","","descartar_posible_plano"
"GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","47.647",,"","","","descartar_posible_plano"
"GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","62.129",,"","","","descartar_posible_plano"
"GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","32.658","26_05_09","edt","cl_mlp_pao_if_ortho_26_05_09_edt","cl_mlp_pao_if_ortho_26_05_09_edt","ya_en_mosaico_probable"
"GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","32.534","26_05_08","dep13_pv5","cl_mlp_pao_if_ortho_26_05_08_dep13_pv5","","candidata_revisar_insertar"
"GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","348.052","26_05_08","patio_sdrnp","cl_mlp_pao_if_ortho_26_05_08_patio_sdrnp","","candidata_revisar_insertar"
"GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","2.235",,"","","","descartar_posible_plano"
"GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","36.005",,"","","","revisar_sin_fecha"
"GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","20260206_Geosupport_primera entrega\SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","11.14",,"","","","descartar_posible_plano"
