"triage_status","load_status","file_name","expected_name","expected_date_token","expected_sector","date_exists_in_mosaic","matched_mosaic_path","relative_path"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif","CL_MLP_PAO_IF_Ortho_25_12_28_eb2","25_12_28","eb2","False","","SOLO_TIF_02Jun26\GEOSP-TRN-001426_GS_ORTOFOTO EB2 28-12-2025.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-001492_GS_ORTOFOTO_Estacion de bombeo n°2.tif"
"nueva_alta_confianza","nueva_candidata","GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif","CL_MLP_PAO_IF_Ortho_25_12_20_eb2","25_12_20","eb2","False","","SOLO_TIF_02Jun26\GEOSP-TRN-001553_GS_ORTOFOTO_EB2_20-12-2025.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif","CL_MLP_PAO_IF_Ortho_26_01_03_eb2","26_01_03","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-001642_ORTOFOTO_EB2_03-01-2026.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif","CL_MLP_PAO_IF_Ortho_26_01_17_eb2","26_01_17","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-001732_GS_ORTOFOTO_EB2_17-01-26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-001784_GS_ORTOFOTO_Estacion de bombeo n°2.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif","CL_MLP_PAO_IF_Ortho_26_02_04_eb2","26_02_04","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-001868_GS_ORTOFOTO EB2 04-02-2026.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-001975_GS_ORTOFOTO_Estacion de bombeo n°2.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif","CL_MLP_PAO_IF_Ortho_26_02_26_eb2","26_02_26","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002016_GS_ORTOFOTO_EB2_26-02-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif","CL_MLP_PAO_IF_Ortho_26_03_07_eb2","26_03_07","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002096_GS_ORTOFOTO_EB2_07-03-2026.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif","CL_MLP_PAO_IF_Ortho_26_03_13_eb2","26_03_13","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002140_GS_ORTOFOTO_EB2_13-03-26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","CL_MLP_PAO_IF_Ortho_26_03_27_eb2","26_03_27","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002300_ortofoto completa.tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002300_ortofoto completa.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","CL_MLP_PAO_IF_Ortho_26_04_12_eb2","26_04_12","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","CL_MLP_PAO_IF_Ortho_26_04_19_eb2","26_04_19","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","CL_MLP_PAO_IF_Ortho_26_04_26_eb2","26_04_26","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","CL_MLP_PAO_IF_Ortho_26_04_30_plataforma","26_04_30","plataforma","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","CL_MLP_PAO_IF_Ortho_26_05_02_eb2","26_05_02","eb2","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif"
