expected_sector,destination_folder
ed1,Chacay_El_Mauro_Drone
ed2,Chacay_El_Mauro_Drone
em2,Chacay_El_Mauro_Drone
em2_2,Chacay_El_Mauro_Drone
em3,Chacay_El_Mauro_Drone
ev1,Chacay_El_Mauro_Drone
subestacion_el_mauro,Chacay_El_Mauro_Drone
eb3,El_Mauro_Drone
ebd,El_Mauro_Drone
em4,El_Mauro_Drone
pozos_prp,El_Mauro_Drone
acceso_pozos_prp,El_Mauro_Drone
camino_alternativo_salamanca,El_Mauro_Drone
em1,Chacay_Drone
estacion_cabecera,Chacay_Drone
Estacion_Cabecera,Chacay_Drone
estacion_cabeceras,Chacay_Drone
edt,Puerto_Punta_Chungo_Drone
ev2,El_Mauro_Puerto_Punta_Chungo_Drone
ssee,El_Mauro_Drone
patio_19b,Chacay_El_Mauro_Drone
helipuerto_mauro,El_Mauro_Drone
helipuerto_mauro_mlp,El_Mauro_Drone
estacion_de_bombeo_no3,El_Mauro_Drone
estacion_intermedia_3,Chacay_El_Mauro_Drone
estacion_de_monitoreo_n_2,El_Mauro_Drone
torres_e48_a_e84,Chacay_El_Mauro_Drone
tramo_2_linea_33_kv_e_085_e_125,Chacay_El_Mauro_Drone
tramo_2_linea_33_kv_e_048_e_084,Chacay_El_Mauro_Drone
tramo_1_linea_33_kv_e_125_ml_eb2,Chacay_El_Mauro_Drone
tramo_2_linea_22_kv_e_35_e48,Chacay_El_Mauro_Drone
