"ready_for_datastore","review_reason","path","relative_path","file_name","expected_file_name","expected_name","expected_date_token","destination_date_folder","expected_sector","sector_source","rename_status","spatial_status","spatial_sector_raw","spatial_sector","spatial_overlap_pct","spatial_overlap_count","spatial_all_matches","duplicate_expected_file_name","size_mb","modified_at"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro.tif","CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro","26_05_06","26_05","Subestacion-El-Mauro","spatial_sector","ok","ok","Subestacion-El-Mauro","Subestacion-El-Mauro","99.9999717878602","31","Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.95|EB3:69.62|EB3:69.62|EB3:69.29|EB3:69.29|EB3:69.14|EB3:68.93|EB3:68.75|EB3:68.71|EB3:68.67|EB3:68.42|EB3:67.80|Subestacion-El-Mauro_A_E35:45.05|Subestacion-El-Mauro_A_E35_:42.82|Subestacion-El-Mauro_A_E35:42.64|Subestacion-El-Mauro_A_E35:42.16|Subestacion-El-Mauro_A_E35:40.77|Subestacion-El-Mauro_A_E35:39.49|Subestacion-El-Mauro_A_E35_:26.44","True","11.012","2026-06-05 11:44:50"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro.tif","CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro","26_05_06","26_05","Subestacion-El-Mauro","spatial_sector","ok","ok","Subestacion-El-Mauro","Subestacion-El-Mauro","54.91543868647911","37","Subestacion-El-Mauro:54.92|Subestacion-El-Mauro:54.87|Subestacion-El-Mauro:54.79|Subestacion-El-Mauro:54.78|Subestacion-El-Mauro:54.25|Subestacion-El-Mauro:27.20|Subestacion-El-Mauro:27.20|Subestacion-El-Mauro:27.18|Subestacion-El-Mauro:26.98|Subestacion-El-Mauro:26.95|Subestacion-El-Mauro:26.95|Subestacion-El-Mauro:26.85|Subestacion-El-Mauro_A_E35:20.81|Subestacion-El-Mauro_A_E35:20.19|Subestacion-El-Mauro_A_E35:19.75|Subestacion-El-Mauro_A_E35:19.75|Subestacion-El-Mauro_A_E35_:17.87|Subestacion-El-Mauro:17.35|Subestacion-El-Mauro_A_E35_:10.96|Subestacion-El-Mauro_A_E35:9.92|Estacion_Intermedia:8.68|Estacion_Intermedia:8.62|Estacion_Intermedia:8.60|Estacion_Intermedia:8.55|Estacion_Intermedia:8.41|Estacion_Intermedia:8.40|EB3:3.27|EB3:3.27|EB3:3.25|EB3:3.25|EB3:3.24|EB3:3.23|EB3:3.22|EB3:3.22|EB3:3.22|EB3:3.21|EB3:3.18","True","762.001","2026-06-05 11:44:57"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro.tif","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro","26_05_13","26_05","Subestacion-El-Mauro","spatial_sector","ok","ok","Subestacion-El-Mauro","Subestacion-El-Mauro","54.916106630054614","37","Subestacion-El-Mauro:54.92|Subestacion-El-Mauro:54.87|Subestacion-El-Mauro:54.79|Subestacion-El-Mauro:54.78|Subestacion-El-Mauro:54.25|Subestacion-El-Mauro:27.20|Subestacion-El-Mauro:27.20|Subestacion-El-Mauro:27.18|Subestacion-El-Mauro:26.98|Subestacion-El-Mauro:26.95|Subestacion-El-Mauro:26.95|Subestacion-El-Mauro:26.85|Subestacion-El-Mauro_A_E35:20.81|Subestacion-El-Mauro_A_E35:20.19|Subestacion-El-Mauro_A_E35:19.75|Subestacion-El-Mauro_A_E35:19.75|Subestacion-El-Mauro_A_E35_:17.87|Subestacion-El-Mauro:17.35|Subestacion-El-Mauro_A_E35_:10.96|Subestacion-El-Mauro_A_E35:9.92|Estacion_Intermedia:8.68|Estacion_Intermedia:8.61|Estacion_Intermedia:8.60|Estacion_Intermedia:8.55|Estacion_Intermedia:8.41|Estacion_Intermedia:8.40|EB3:3.27|EB3:3.27|EB3:3.25|EB3:3.25|EB3:3.24|EB3:3.23|EB3:3.22|EB3:3.22|EB3:3.22|EB3:3.21|EB3:3.18","True","954.304","2026-06-05 11:46:33"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_EBD.tif","CL_MLP_PAO_IF_Ortho_26_05_13_EBD","26_05_13","26_05","EBD","spatial_sector","ok","ok","EBD","EBD","84.64989702235415","39","EBD:84.65|EBD:60.94|EBD:60.60|EBD:60.54|EBD:60.54|EBD:60.46|EBD:59.99|EBD:59.74|Pozos_PRP:40.11|Acceso_a_pozos:39.85|Acceso_a_pozos:39.63|Acceso_a_pozos:39.21|Pozos_PRP:38.71|Acceso_a_pozos:38.23|Estacion_Drenes_El_Mauro:22.11|EBD:22.08|Subestacion-El-Mauro_A_E35:7.82|Subestacion-El-Mauro_A_E35:7.27|Subestacion-El-Mauro_A_E35_:7.19|Subestacion-El-Mauro_A_E35:7.11|Subestacion-El-Mauro_A_E35:7.10|Pozos_PRP:6.39|Pozos_PRP:6.36|Pozos_PRP:6.35|Pozos_PRP:6.26|Pozos_PRP:6.26|Pozos_PRP:6.26|Linea-33-kV-NorteElMauro-Area3_1:6.21|Linea-33-kV-NorteElMauro-Area3:6.20|Pozos_PRP:6.20|Linea-33-kV-NorteElMauro-Area3_1:6.20|Pozos_PRP:6.20|Linea-33-kV-NorteElMauro-Area3:6.18|Linea-33-kV-NorteElMauro-Area3:6.15|Linea-33-kV-NorteElMauro-Area3:6.15|TORRES_E12_-_E30_PV4:1.91|TORRES_E12_-_E30_PV4:1.90|Linea-33-kV-NorteElMauro-Area3:1.89|TORRES_E12_-_E30_PV4:1.89","True","213.754","2026-06-05 11:46:39"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro.tif","CL_MLP_PAO_IF_Ortho_26_05_13_Subestacion-El-Mauro","26_05_13","26_05","Subestacion-El-Mauro","spatial_sector","ok","ok","Subestacion-El-Mauro","Subestacion-El-Mauro","99.99998592575052","31","Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.95|EB3:69.62|EB3:69.62|EB3:69.28|EB3:69.28|EB3:69.14|EB3:68.92|EB3:68.74|EB3:68.70|EB3:68.66|EB3:68.41|EB3:67.79|Subestacion-El-Mauro_A_E35:45.06|Subestacion-El-Mauro_A_E35_:42.83|Subestacion-El-Mauro_A_E35:42.65|Subestacion-El-Mauro_A_E35:42.17|Subestacion-El-Mauro_A_E35:40.77|Subestacion-El-Mauro_A_E35:39.50|Subestacion-El-Mauro_A_E35_:26.45","True","56.175","2026-06-05 11:46:51"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_EBD.tif","CL_MLP_PAO_IF_Ortho_26_05_13_EBD","26_05_13","26_05","EBD","spatial_sector","ok","ok","EBD","EBD","99.9999741308907","30","EBD:100.00|EBD:98.94|EBD:98.93|EBD:98.90|EBD:98.83|EBD:98.83|EBD:98.81|EBD:98.70|Pozos_PRP:85.52|Acceso_a_pozos:84.68|Acceso_a_pozos:84.33|Acceso_a_pozos:83.64|Pozos_PRP:82.73|Acceso_a_pozos:82.16|Pozos_PRP:55.90|Pozos_PRP:55.64|Pozos_PRP:55.55|Pozos_PRP:54.75|Pozos_PRP:54.75|Pozos_PRP:54.75|Linea-33-kV-NorteElMauro-Area3_1:54.32|Linea-33-kV-NorteElMauro-Area3:54.30|Pozos_PRP:54.26|Linea-33-kV-NorteElMauro-Area3_1:54.26|Pozos_PRP:54.25|Linea-33-kV-NorteElMauro-Area3:54.05|Linea-33-kV-NorteElMauro-Area3:53.87|Linea-33-kV-NorteElMauro-Area3:53.85|EBD:1.11|Estacion_Drenes_El_Mauro:1.08","True","29.052","2026-06-05 11:46:53"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4.tif","CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4","26_05_14","26_05","TORRES_E31_A_E48_PV4","spatial_sector","ok","ok","TORRES_E31_A_E48_PV4","TORRES_E31_A_E48_PV4","35.00419825351661","43","TORRES_E31_A_E48_PV4:35.00|TORRES_E31_A_E48_PV4:34.95|Linea-33-kV-NorteElMauro-Area1:34.89|33-kV-NSTC-Km-74p7-a-75p5:34.87|TORRES_E31_A_E48_PV4:34.72|Subestacion-El-Mauro_A_E35:32.63|TORRES_E35_A_E48:32.00|TORRES_E035_E048:31.99|TORRES_E35_A_E48:31.89|TORRES_E35_A_E48:25.90|TORRES_E35_A_E48:19.70|TORRES_E35_A_E48:19.67|TORRES_E35_A_E48:19.67|TORRES_E35_A_E48:19.45|TORRES_E35_A_E48:19.22|TORRES_E35_A_E48:19.08|TORRES_E35_A_E48:18.62|TORRES_E35_A_E48:18.18|Subestacion-El-Mauro_A_E35:5.03|Subestacion-El-Mauro_A_E35:4.66|Subestacion-El-Mauro_A_E35_:4.53|Subestacion-El-Mauro_A_E35:4.48|Subestacion-El-Mauro_A_E35:4.27|Subestacion-El-Mauro_A_E35_:4.22|Subestacion-El-Mauro_A_E35:4.10|TORRE_E48_A_E84_PV4:2.26|InstalacionesTipay:2.25|TORRES_E48_A_E84_PV4:2.25|TORRE_E48_A_E84_PV4:2.23|TORRES_E48_A_E84_PV4:1.89|TORRES_E48_A_E84_PV4:0.47|TORRES_E48_A_E84_PV4:0.46|Pozos_PRP:0.44|Acceso_a_pozos:0.44|Acceso_a_pozos:0.43|TORRES_E48_A_E84_PV4:0.43|TORRES_E48_A_E84_PV4:0.41|Acceso_a_pozos:0.41|Pozos_PRP:0.39|Acceso_a_pozos:0.39|TORRES_E48_A_E84_PV4:0.32|TORRES_E48_A_E84_PV4:0.22|TORRES_E48_A_E84_PV4:0.21","True","650.561","2026-06-05 11:47:29"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto.tif","CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto","26_05_15","26_05","Helipuerto","spatial_sector","ok","ok","Helipuerto","Helipuerto","56.886259905107906","5","Helipuerto:56.89|Helipuerto:56.89|Helipuerto:56.34|Helipuerto:56.10|Helipuerto:55.91","True","85.96","2026-06-05 11:47:50"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto.tif","CL_MLP_PAO_IF_Ortho_26_05_15_Helipuerto","26_05_15","26_05","Helipuerto","spatial_sector","ok","ok","Helipuerto","Helipuerto","56.886259905107906","5","Helipuerto:56.89|Helipuerto:56.89|Helipuerto:56.34|Helipuerto:56.10|Helipuerto:55.91","True","85.96","2026-06-05 11:47:54"
"True","nombre_esperado_duplicado|cruza_multiples_sectores","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4.tif","CL_MLP_PAO_IF_Ortho_26_05_14_TORRES_E31_A_E48_PV4","26_05_14","26_05","TORRES_E31_A_E48_PV4","spatial_sector","ok","ok","TORRES_E31_A_E48_PV4","TORRES_E31_A_E48_PV4","35.00419825351661","43","TORRES_E31_A_E48_PV4:35.00|TORRES_E31_A_E48_PV4:34.95|Linea-33-kV-NorteElMauro-Area1:34.89|33-kV-NSTC-Km-74p7-a-75p5:34.87|TORRES_E31_A_E48_PV4:34.72|Subestacion-El-Mauro_A_E35:32.63|TORRES_E35_A_E48:32.00|TORRES_E035_E048:31.99|TORRES_E35_A_E48:31.89|TORRES_E35_A_E48:25.90|TORRES_E35_A_E48:19.70|TORRES_E35_A_E48:19.67|TORRES_E35_A_E48:19.67|TORRES_E35_A_E48:19.45|TORRES_E35_A_E48:19.22|TORRES_E35_A_E48:19.08|TORRES_E35_A_E48:18.62|TORRES_E35_A_E48:18.18|Subestacion-El-Mauro_A_E35:5.03|Subestacion-El-Mauro_A_E35:4.66|Subestacion-El-Mauro_A_E35_:4.53|Subestacion-El-Mauro_A_E35:4.48|Subestacion-El-Mauro_A_E35:4.27|Subestacion-El-Mauro_A_E35_:4.22|Subestacion-El-Mauro_A_E35:4.10|TORRE_E48_A_E84_PV4:2.26|InstalacionesTipay:2.25|TORRES_E48_A_E84_PV4:2.25|TORRE_E48_A_E84_PV4:2.23|TORRES_E48_A_E84_PV4:1.89|TORRES_E48_A_E84_PV4:0.47|TORRES_E48_A_E84_PV4:0.46|Pozos_PRP:0.44|Acceso_a_pozos:0.44|Acceso_a_pozos:0.43|TORRES_E48_A_E84_PV4:0.43|TORRES_E48_A_E84_PV4:0.41|Acceso_a_pozos:0.41|Pozos_PRP:0.39|Acceso_a_pozos:0.39|TORRES_E48_A_E84_PV4:0.32|TORRES_E48_A_E84_PV4:0.22|TORRES_E48_A_E84_PV4:0.21","True","650.561","2026-06-05 11:48:35"
