ready_for_datastore,review_reason,path,relative_path,file_name,expected_file_name,original_expected_file_name,expected_name,expected_date_token,destination_date_folder,expected_sector,sector_source,rename_status,spatial_status,spatial_sector_raw,spatial_sector,spatial_overlap_pct,spatial_overlap_count,spatial_all_matches,duplicate_expected_file_name,duplicate_sequence,duplicate_was_resolved,size_mb,modified_at
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera,26_05_01,26_05,Estacion_Cabecera,spatial_sector,ok,ok,Estacion_Cabecera,Estacion_Cabecera,46.14684615168709,5,Estacion_Cabecera:46.15|Estacion_Cabecera:46.08|Estacion_Cabecera:45.73|Estacion_Cabecera:45.10|Estacion_Cabecera:44.73,False,,False,79.159,2026-06-05 11:44:49
True,nombre_duplicado_resuelto|cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-1.tif,CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro.tif,CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-1,26_05_06,26_05,Subestacion-El-Mauro,spatial_sector,ok,ok,Subestacion-El-Mauro,Subestacion-El-Mauro,99.9999717878602,31,Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:100.00|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.99|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.98|Subestacion-El-Mauro:99.95|EB3:69.62|EB3:69.62|EB3:69.29|EB3:69.29|EB3:69.14|EB3:68.93|EB3:68.75|EB3:68.71|EB3:68.67|EB3:68.42|EB3:67.80|Subestacion-El-Mauro_A_E35:45.05|Subestacion-El-Mauro_A_E35_:42.82|Subestacion-El-Mauro_A_E35:42.64|Subestacion-El-Mauro_A_E35:42.16|Subestacion-El-Mauro_A_E35:40.77|Subestacion-El-Mauro_A_E35:39.49|Subestacion-El-Mauro_A_E35_:26.44,True,1,True,11.012,2026-06-05 11:44:50
True,nombre_duplicado_resuelto|cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-2.tif,CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro.tif,CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-2,26_05_06,26_05,Subestacion-El-Mauro,spatial_sector,ok,ok,Subestacion-El-Mauro,Subestacion-El-Mauro,54.91543868647911,37,Subestacion-El-Mauro:54.92|Subestacion-El-Mauro:54.87|Subestacion-El-Mauro:54.79|Subestacion-El-Mauro:54.78|Subestacion-El-Mauro:54.25|Subestacion-El-Mauro:27.20|Subestacion-El-Mauro:27.20|Subestacion-El-Mauro:27.18|Subestacion-El-Mauro:26.98|Subestacion-El-Mauro:26.95|Subestacion-El-Mauro:26.95|Subestacion-El-Mauro:26.85|Subestacion-El-Mauro_A_E35:20.81|Subestacion-El-Mauro_A_E35:20.19|Subestacion-El-Mauro_A_E35:19.75|Subestacion-El-Mauro_A_E35:19.75|Subestacion-El-Mauro_A_E35_:17.87|Subestacion-El-Mauro:17.35|Subestacion-El-Mauro_A_E35_:10.96|Subestacion-El-Mauro_A_E35:9.92|Estacion_Intermedia:8.68|Estacion_Intermedia:8.62|Estacion_Intermedia:8.60|Estacion_Intermedia:8.55|Estacion_Intermedia:8.41|Estacion_Intermedia:8.40|EB3:3.27|EB3:3.27|EB3:3.25|EB3:3.25|EB3:3.24|EB3:3.23|EB3:3.22|EB3:3.22|EB3:3.22|EB3:3.21|EB3:3.18,True,2,True,762.001,2026-06-05 11:44:57
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125.tif,CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125.tif,CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125,26_05_06,26_05,TORRE_E85_A_E_125,spatial_sector,ok,ok,TORRE_E85_A_E_125,TORRE_E85_A_E_125,49.100136600609055,37,TORRE_E85_A_E_125:49.10|TORRE_E85_A_E_125:48.98|TORRE_E85_A_E_125:48.95|TORRE_E85_A_E_125:48.87|TORRE_E85_A_E_125:48.16|TORRE_E85_A_E_125:47.89|TORRE_E85_A_E_125:26.10|TORRE_E85_A_E_125:26.08|DME5A-DME17-a-NSTC-78p9:26.07|TORRES_E84_A_E127:25.95|TORRE_E85_A_E_125:25.84|TORRES_E85_A_E125:21.41|TORRE_E85_A_E_125:21.37|TORRE_E85_A_E125:21.36|TORRE_E85_A_E_125:21.08|TORRES_E48_A_E84_PV4:1.75|TORRES_E48_A_E84_PV4:0.41|MonteAranda-NSTC-Km-84p2-a-82p3:0.29|MonteAranda-NSTC-Km-84p2-a-82p3:0.28|MonteAranda-NSTC-Km-84p2-a-82p3:0.28|MonteAranda-NSTC-Km-84p2-a-82p3:0.28|MonteAranda-NSTC-Km-84p2-a-82p3:0.28|MonteAranda-NSTC-Km-84p2-a-82p3:0.27|MonteAranda-NSTC-Km-84p2-a-82p3:0.23|MonteAranda-NSTC-Km-84p2-a-82p3:0.23|MonteAranda-NSTC-Km-84p2-a-82p3:0.22|MonteAranda-NSTC-Km-84p2-a-82p3:0.21|MonteAranda-NSTC-Km-84p2-a-82p3:0.20|MonteAranda-NSTC-Km-84p2-a-82p3:0.20|MonteAranda-NSTC-Km-84p2-a-82p3:0.20|MonteAranda-NSTC-Km-84p2-a-82p3:0.19|MonteAranda-NSTC-Km-84p2-a-82p3:0.18|TORRES_E48_A_E84_PV4:0.15|TORRES_E48_A_E84_PV4:0.14|TORRES_E48_A_E84_PV4:0.12|TORRES_E48_A_E84_PV4:0.12|TORRES_E48_A_E84_PV4:0.11,False,,False,640.965,2026-06-05 11:45:11
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_10_ED1.tif,CL_MLP_PAO_IF_Ortho_26_05_10_ED1.tif,CL_MLP_PAO_IF_Ortho_26_05_10_ED1,26_05_10,26_05,ED1,spatial_sector,ok,ok,ED1,ED1,44.18424035011025,10,ED1:44.18|ED1:43.65|ED1-IIFF7-DME8:43.40|ED1-IIFF7-DME8:43.16|ED1-IIFF7-DME8:43.05|ED1_IIFF7_DME8:43.05|ED1-IIFF7-DME8:43.03|ED1-IIFF7-DME8:43.01|ED1-IIFF7-DME8:43.01|ED1-IIFF7-DME8:42.97,False,,False,63.628,2026-06-05 11:45:18
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto.tif,CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto.tif,CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto,26_05_10,26_05,Helipuerto,spatial_sector,ok,ok,Helipuerto,Helipuerto,54.779015051402055,5,Helipuerto:54.78|Helipuerto:54.78|Helipuerto:54.26|Helipuerto:54.02|Helipuerto:53.84,False,,False,102.047,2026-06-05 11:45:22
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado.tif,CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado.tif,CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado,26_05_10,26_05,Patio-19B-y-Armado,spatial_sector,ok,ok,Patio-19B-y-Armado,Patio-19B-y-Armado,44.89407967499772,15,Patio-19B-y-Armado:44.89|Patio-19B-y-Armado:43.01|Patio-19B-y-Armado:42.98|Patio-19B-y-Armado:42.72|Patio-19B-y-Armado:42.72|Patio-19B-y-Armado:31.94|Patio-19B-y-Armado:31.54|Patio-19B-y-Armado:31.52|Patio-19B-y-Armado:30.23|Patio-19B-y-Armado:20.56|Patio-19B-y-Armado:19.06|Patio-19B-y-Armado:8.56|Patio-19B-y-Armado:8.53|Patio-19B-y-Armado:8.53|Patio-19B-y-Armado:8.52,False,,False,156.844,2026-06-05 11:45:24
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif,SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif,GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif,CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8.tif,CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8.tif,CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8,26_05_10,26_05,DME9-PA12-IIFF8,spatial_sector,ok,ok,DME9-PA12-IIFF8,DME9-PA12-IIFF8,33.4723620441312,11,DME9-PA12-IIFF8:33.47|EM2:32.56|EM2:31.98|DME9_PA12_IIFF8:31.25|DME9-PA12-IIFF8:29.99|DME9-PA12-IIFF8:29.03|EM2:13.55|EM2:13.54|EM2:12.50|DME9_PA12_IIFF8_1:12.47|EM2:12.33,False,,False,71.19,2026-06-05 11:45:29
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif,GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4.tif,CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4.tif,CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4,26_05_07,26_05,TORRES_E48_A_E84_PV4,spatial_sector,ok,ok,TORRES_E48_A_E84_PV4,TORRES_E48_A_E84_PV4,27.924993956853108,41,TORRES_E48_A_E84_PV4:27.92|TORRES_E48_A_E84_PV4:25.59|TORRES_E48_A_E84_PV4:25.56|TORRES_E48_A_E84_PV4:24.78|TORRES_E48_A_E84_PV4:24.72|TORRES_E48_A_E84_PV4:23.50|TORRE_E48_A_E84_PV4:19.04|TORRE_E48_A_E84_PV4:18.97|InstalacionesTipay:17.06|TORRES_E48_A_E84_PV4:14.91|TORRES_E48_A_E84_PV4:12.31|TORRES_E48_A_E84_PV4:10.37|TORRE_E85_A_E_125:0.37|DME5A-DME17-a-NSTC-78p9:0.36|TORRE_E85_A_E_125:0.35|TORRES_E84_A_E127:0.33|TORRES_E35_A_E48:0.31|TORRE_E85_A_E_125:0.28|TORRES_E35_A_E48:0.13|TORRES_E31_A_E48_PV4:0.13|TORRES_E31_A_E48_PV4:0.13|Subestacion-El-Mauro_A_E35:0.13|Linea-33-kV-NorteElMauro-Area1:0.12|TORRES_E35_A_E48:0.12|33-kV-NSTC-Km-74p7-a-75p5:0.12|TORRES_E035_E048:0.12|TORRES_E31_A_E48_PV4:0.11|TORRES_E35_A_E48:0.11|TORRES_E35_A_E48:0.11|TORRES_E35_A_E48:0.11|TORRES_E35_A_E48:0.11|TORRES_E35_A_E48:0.11|TORRES_E35_A_E48:0.10|TORRES_E35_A_E48:0.10|TORRE_E85_A_E_125:0.08|TORRE_E85_A_E_125:0.07|TORRE_E85_A_E_125:0.06|TORRE_E85_A_E_125:0.06|TORRE_E85_A_E_125:0.06|TORRES_E35_A_E48:0.05|TORRE_E85_A_E_125:0.04,False,,False,3217.563,2026-06-05 11:45:59
True,cruza_multiples_sectores,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif,GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif,CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3.tif,CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3,26_05_10,26_05,MonteAranda-NSTC-Km-84p2-a-82p3,spatial_sector,ok,ok,MonteAranda-NSTC-Km-84p2-a-82p3,MonteAranda-NSTC-Km-84p2-a-82p3,22.800598449749153,32,MonteAranda-NSTC-Km-84p2-a-82p3:22.80|MonteAranda-NSTC-Km-84p2-a-82p3:22.41|MonteAranda-NSTC-Km-84p2-a-82p3:22.38|MonteAranda-NSTC-Km-84p2-a-82p3:22.38|MonteAranda-NSTC-Km-84p2-a-82p3:22.37|MonteAranda-NSTC-Km-84p2-a-82p3:22.29|MonteAranda-NSTC-Km-84p2-a-82p3:14.95|MonteAranda-NSTC-Km-84p2-a-82p3:14.85|MonteAranda-NSTC-Km-84p2-a-82p3:14.64|MonteAranda-NSTC-Km-84p2-a-82p3:13.89|MonteAranda-NSTC-Km-84p2-a-82p3:13.88|MonteAranda-NSTC-Km-84p2-a-82p3:13.86|MonteAranda-NSTC-Km-84p2-a-82p3:7.85|MonteAranda-NSTC-Km-84p2-a-82p3:7.84|MonteAranda-NSTC-Km-84p2-a-82p3:7.72|EB2:1.27|TORRES_E84_A_E127:0.90|TORRE_E85_A_E_125:0.89|TORRE_E85_A_E_125:0.89|TORRE_E85_A_E_125:0.89|DME5A-DME17-a-NSTC-78p9:0.89|EB2_1:0.79|TORRE_E85_A_E_125:0.54|TORRE_E85_A_E_125:0.54|TORRE_E85_A_E_125:0.54|TORRE_E85_A_E_125:0.53|TORRE_E85_A_E_125:0.52|TORRE_E85_A_E_125:0.52|TORRE_E85_A_E_125:0.49|TORRE_E85_A_E125:0.48|TORRE_E85_A_E_125:0.47|TORRES_E85_A_E125:0.47,False,,False,264.282,2026-06-05 11:46:07
