metric,value
run_timestamp,20260615_151024
audit_logic_version,2026-06-15-spatial-sector-preserve-token
input_folder,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport
sector_feature_class,\\amssclgis08.ams.gmams.cl\CL_MLP_PAO\02_FGDB\CL_MLP_PAO_v1.gdb\CL_MLP_PAO_06_COMPLEMENTOS\CL_MLP_PAO_Indice_Vuelos_PAO_IMGS_PO
datastore_destination_root,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO
sector_field,Sector
sector_query,Sensor <> 'DJI MATRICE 350 RTK'
input_files_count,1392
ortho_images_count,33
ready_for_datastore_count,32
review_required_count,1
duplicate_original_expected_file_name_count,10
duplicate_expected_file_name_resolved_count,10
spatial_status_ok,33
rename_status_ok,32
rename_status_sin_fecha,1
