"Name","Raster","Path_Destino","Sector","Fecha_Adqui","URL","Proyecto","Sensor","Fecha_Publ","file_name","relative_path"
"CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera","CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif","Estacion_Cabecera","2026-05-01","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif","SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-1","CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-1.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-1.tif","Subestacion-El-Mauro","2026-05-06","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-1.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-2","CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-2.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-2.tif","Subestacion-El-Mauro","2026-05-06","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_Subestacion-El-Mauro-2.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125","CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125.tif","TORRE_E85_A_E_125","2026-05-06","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_TORRE_E85_A_E_125.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_10_ED1","CL_MLP_PAO_IF_Ortho_26_05_10_ED1.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_ED1.tif","ED1","2026-05-10","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_ED1.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto","CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto.tif","Helipuerto","2026-05-10","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_Helipuerto.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif","SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif"
"CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado","CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado.tif","Patio-19B-y-Armado","2026-05-10","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_Patio-19B-y-Armado.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8","CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8.tif","DME9-PA12-IIFF8","2026-05-10","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_DME9-PA12-IIFF8.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif","SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif"
"CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4","CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4.tif","TORRES_E48_A_E84_PV4","2026-05-07","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_07_TORRES_E48_A_E84_PV4.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif"
"CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3","CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3.tif","\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3.tif","MonteAranda-NSTC-Km-84p2-a-82p3","2026-05-10","https://sig.aminerals.cl/imgdyn/rest/services/CL_MLP_PAO/CL_MLP_PAO_IF_Ortho_Geosupport/ImageServer/file?id=.\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_MonteAranda-NSTC-Km-84p2-a-82p3.tif&rasterId=","PAO","DJI Mavic Enterprise","2026-06-15","GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif","SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif"
