Unnamed: 0,file_name,stem,extension,path,relative_path,size_mb,modified_at,expected_name,expected_file_name,expected_stem,expected_date_token,expected_sector,expected_sector_candidates,expected_stem_candidates,date_warning,rename_status,destination_status,destination_rule,destination_folder,destination_date_folder,destination_file_name,destination_path,review_reason,destination_exists,duplicate_destination,destination_file_key,destination_stem_key,folder_month_key,folder_key,exists_file_name_in_mosaic,exists_stem_in_mosaic,folder_exists_in_mosaic,folder_month_exists_in_mosaic
0,GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,SOLO_TIF_19May26\GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif,79.159,2026-06-05 11:44:49,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera,26_05_01,Estacion_Cabecera,Estacion_Cabecera|Estacion_Cabecera,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera|CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera,,ok,ready,sector_dictionary,Chacay_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_01_Estacion_Cabecera.tif,,False,False,cl_mlp_pao_if_ortho_26_05_01_estacion_cabecera_tif,cl_mlp_pao_if_ortho_26_05_01_estacion_cabecera,chacay_drone_26_05,chacay_drone,False,False,True,True
1,GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif,11.012,2026-06-05 11:44:50,CL_MLP_PAO_IF_Ortho_26_05_06_eb3,CL_MLP_PAO_IF_Ortho_26_05_06_eb3.tif,CL_MLP_PAO_IF_Ortho_26_05_06_eb3,26_05_06,eb3,eb3,CL_MLP_PAO_IF_Ortho_26_05_06_eb3,,ok,ready,sector_dictionary,El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_06_eb3.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_eb3.tif,,False,False,cl_mlp_pao_if_ortho_26_05_06_eb3_tif,cl_mlp_pao_if_ortho_26_05_06_eb3,el_mauro_drone_26_05,el_mauro_drone,False,False,True,True
2,GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif,762.001,2026-06-05 11:44:57,CL_MLP_PAO_IF_Ortho_26_05_06_ssee,CL_MLP_PAO_IF_Ortho_26_05_06_ssee.tif,CL_MLP_PAO_IF_Ortho_26_05_06_ssee,26_05_06,ssee,ssee,CL_MLP_PAO_IF_Ortho_26_05_06_ssee,,ok,ready,sector_dictionary,El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_06_ssee.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_ssee.tif,,False,False,cl_mlp_pao_if_ortho_26_05_06_ssee_tif,cl_mlp_pao_if_ortho_26_05_06_ssee,el_mauro_drone_26_05,el_mauro_drone,False,False,True,True
3,GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif,640.965,2026-06-05 11:45:11,CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125,CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125.tif,CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125,26_05_06,tramo_2_linea_33_kv_e_085_e_125,tramo_2_linea_33_kv_e_085_e_125,CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125,,ok,ready,sector_dictionary,Chacay_El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125.tif,,False,False,cl_mlp_pao_if_ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125_tif,cl_mlp_pao_if_ortho_26_05_06_tramo_2_linea_33_kv_e_085_e_125,chacay_el_mauro_drone_26_05,chacay_el_mauro_drone,False,False,True,True
4,GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif,63.628,2026-06-05 11:45:18,CL_MLP_PAO_IF_Ortho_26_05_10_ed1,CL_MLP_PAO_IF_Ortho_26_05_10_ed1.tif,CL_MLP_PAO_IF_Ortho_26_05_10_ed1,26_05_10,ed1,ed1,CL_MLP_PAO_IF_Ortho_26_05_10_ed1,,ok,ready,sector_dictionary,Chacay_El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_10_ed1.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_ed1.tif,,False,False,cl_mlp_pao_if_ortho_26_05_10_ed1_tif,cl_mlp_pao_if_ortho_26_05_10_ed1,chacay_el_mauro_drone_26_05,chacay_el_mauro_drone,False,False,True,True
5,GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif,102.047,2026-06-05 11:45:22,CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp,CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp.tif,CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp,26_05_10,helipuerto_mauro_mlp,helipuerto_mauro_mlp,CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp,,ok,ready,sector_dictionary,El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_helipuerto_mauro_mlp.tif,,False,False,cl_mlp_pao_if_ortho_26_05_10_helipuerto_mauro_mlp_tif,cl_mlp_pao_if_ortho_26_05_10_helipuerto_mauro_mlp,el_mauro_drone_26_05,el_mauro_drone,False,False,True,True
6,GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif,156.844,2026-06-05 11:45:24,CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b,CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b.tif,CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b,26_05_10,patio_19b,patio_19b,CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b,,ok,ready,sector_dictionary,Chacay_El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_patio_19b.tif,,False,False,cl_mlp_pao_if_ortho_26_05_10_patio_19b_tif,cl_mlp_pao_if_ortho_26_05_10_patio_19b,chacay_el_mauro_drone_26_05,chacay_el_mauro_drone,False,False,True,True
7,GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif,GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif,SOLO_TIF_19May26\GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif,71.19,2026-06-05 11:45:29,CL_MLP_PAO_IF_Ortho_26_05_10_em2,CL_MLP_PAO_IF_Ortho_26_05_10_em2.tif,CL_MLP_PAO_IF_Ortho_26_05_10_em2,26_05_10,em2,em2,CL_MLP_PAO_IF_Ortho_26_05_10_em2,,ok,ready,sector_dictionary,Chacay_El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_10_em2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_em2.tif,,False,False,cl_mlp_pao_if_ortho_26_05_10_em2_tif,cl_mlp_pao_if_ortho_26_05_10_em2,chacay_el_mauro_drone_26_05,chacay_el_mauro_drone,False,False,True,True
8,GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif,GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif,3217.563,2026-06-05 11:45:59,CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084,CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084.tif,CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084,26_05_07,tramo_2_linea_33_kv_e_048_e_084,tramo_2_linea_33_kv_e_048_e_084,CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084,,ok,ready,sector_dictionary,Chacay_El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084.tif,,False,False,cl_mlp_pao_if_ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084_tif,cl_mlp_pao_if_ortho_26_05_07_tramo_2_linea_33_kv_e_048_e_084,chacay_el_mauro_drone_26_05,chacay_el_mauro_drone,False,False,True,True
9,GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif,GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif,SOLO_TIF_19May26\GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif,264.282,2026-06-05 11:46:07,CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2,CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2.tif,CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2,26_05_10,tramo_1_linea_33_kv_e_125_ml_eb2,tramo_1_linea_33_kv_e_125_ml_eb2,CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2,,ok,ready,sector_dictionary,Chacay_El_Mauro_Drone,26_05,CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Chacay_El_Mauro_Drone\26_05\CL_MLP_PAO_IF_Ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2.tif,,False,False,cl_mlp_pao_if_ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2_tif,cl_mlp_pao_if_ortho_26_05_10_tramo_1_linea_33_kv_e_125_ml_eb2,chacay_el_mauro_drone_26_05,chacay_el_mauro_drone,False,False,True,True
